Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2018-07-17,6739.6499,7387.2402,6684.1699,7321.04,7321.04,5961950208,581.3901,7030.345,8.6264
2018-07-18,7315.3198,7534.9902,7280.4702,7370.7798,7370.7798,6103410176,55.46,7343.0498,0.7581
2018-07-19,7378.2002,7494.46,7295.46,7466.8599,7466.8599,5111629824,88.6597,7422.53,1.2016
2018-07-20,7467.3999,7594.6699,7323.2598,7354.1299,7354.1299,4936869888,-113.27,7410.7649,-1.5169
2018-07-21,7352.7202,7437.6401,7262.4102,7419.29,7419.29,3726609920,66.5698,7386.0051,0.9054
2018-07-22,7417.7998,7537.9502,7383.8198,7418.4902,7418.4902,3695460096,0.6904,7418.145,0.0093
2018-07-23,7414.71,7771.5,7409.1001,7711.1099,7711.1099,5132480000,296.3999,7562.91,3.9975
2018-07-24,7716.5098,8424.2695,7705.5,8424.2695,8424.2695,7277689856,707.7597,8070.3896,9.172
2018-07-25,8379.6602,8416.8701,8086.3599,8181.3901,8181.3901,5845400064,-198.2701,8280.5252,-2.3661
2018-07-26,8176.8501,8290.3301,7878.71,7951.5801,7951.5801,4899089920,-225.27,8064.2151,-2.755
2018-07-27,7950.3999,8262.6602,7839.7598,8165.0098,8165.0098,5195879936,214.6099,8057.7048,2.6994
2018-07-28,8169.0601,8222.8496,8110.77,8192.1504,8192.1504,3988750080,23.0903,8180.6052,0.2827
2018-07-29,8205.8203,8272.2598,8141.1802,8218.46,8218.46,4107190016,12.6397,8212.1402,0.154
2018-07-30,8221.5801,8235.5,7917.5,8180.48,8180.48,5551400000,-41.1001,8201.03,-0.4999
2018-07-31,8181.2002,8181.5298,7696.9302,7780.4399,7780.4399,5287530000,-400.7603,7980.82,-4.8986
2018-08-01,7769.04,7769.04,7504.9502,7624.9102,7624.9102,4797620000,-144.1298,7696.9751,-1.8552
2018-08-02,7634.1899,7712.77,7523.4399,7567.1499,7567.1499,4214110000,-67.04,7600.6699,-0.8782
2018-08-03,7562.1401,7562.1401,7328.6499,7434.3901,7434.3901,4627150000,-127.75,7498.2651,-1.6893
2018-08-04,7438.6699,7497.4902,6984.0698,7032.8501,7032.8501,4268390000,-405.8198,7235.76,-5.4555
2018-08-05,7031.0801,7102.77,6940.7002,7068.48,7068.48,3679110000,37.3999,7049.78,0.5319
2018-08-06,7062.9399,7166.5498,6890.54,6951.7998,6951.7998,3925900000,-111.1401,7007.3698,-1.5736
2018-08-07,6958.3198,7146.5601,6748.2402,6753.1201,6753.1201,4682800000,-205.1997,6855.72,-2.949
2018-08-08,6746.8501,6746.8501,6226.2202,6305.7998,6305.7998,5064430000,-441.0503,6526.325,-6.5371
2018-08-09,6305.5601,6625.73,6249.0698,6568.23,6568.23,4267040000,262.6699,6436.895,4.1657
2018-08-10,6571.4199,6591.2598,6124.52,6184.71,6184.71,4528680000,-386.7099,6378.065,-5.8847
2018-08-11,6185.79,6455.7402,6109.0298,6295.73,6295.73,4047850000,109.94,6240.76,1.7773
2018-08-12,6283.6499,6409.8501,6237.5,6322.6899,6322.6899,5665250000,39.04,6303.1699,0.6213
2018-08-13,6341.3599,6537.0498,6225.7202,6297.5698,6297.5698,4083980000,-43.7901,6319.4648,-0.6905
2018-08-14,6287.6602,6287.9399,5971.0498,6199.71,6199.71,5301700000,-87.9502,6243.6851,-1.3988
2018-08-15,6221.4199,6588.4902,6221.4199,6308.52,6308.52,4895450000,87.1001,6264.97,1.4
2018-08-16,6294.23,6473.5,6276.4102,6334.73,6334.73,4328420000,40.5,6314.48,0.6434
2018-08-17,6340.9102,6582.5,6324.9702,6580.6299,6580.6299,4992990000,239.7197,6460.77,3.7805
2018-08-18,6583.4302,6617.3501,6353.73,6423.7598,6423.7598,3984520000,-159.6704,6503.595,-2.4253
2018-08-19,6422.5698,6537.98,6361.5498,6506.0698,6506.0698,3311170000,83.5,6464.3198,1.3001
2018-08-20,6500.5098,6536.9199,6297.9302,6308.5298,6308.5298,3665100000,-191.98,6404.5198,-2.9533
2018-08-21,6301.0698,6500.8701,6298.2402,6488.7598,6488.7598,3377180000,187.69,6394.9148,2.9787
2018-08-22,6486.25,6816.79,6310.1099,6376.71,6376.71,4668110000,-109.54,6431.48,-1.6888
2018-08-23,6371.3398,6546.54,6371.3398,6534.8799,6534.8799,3426180000,163.5401,6453.1098,2.5668
2018-08-24,6551.52,6719.96,6498.6401,6719.96,6719.96,4097820000,168.44,6635.74,2.571
2018-08-25,6719.9502,6789.6299,6700.96,6763.1899,6763.1899,3312600000,43.2397,6741.57,0.6435
2018-08-26,6754.6401,6774.75,6620.75,6707.2598,6707.2598,3295500000,-47.3803,6730.95,-0.7014
2018-08-27,6710.7998,6884.6401,6689.71,6884.6401,6884.6401,4019000000,173.8403,6797.72,2.5905
2018-08-28,6891.0801,7109.5601,6882.3398,7096.2798,7096.2798,4659940000,205.1997,6993.68,2.9778
2018-08-29,7091.71,7113.2998,6970.8198,7047.1602,7047.1602,4145880000,-44.5498,7069.4351,-0.6282
2018-08-30,7043.7598,7072.6899,6834.6899,6978.23,6978.23,4463250000,-65.5298,7010.9949,-0.9303
2018-08-31,6973.9702,7057.1699,6920.1602,7037.5801,7037.5801,4495650000,63.6099,7005.7752,0.9121
2018-09-01,7044.8101,7242.29,7038.0498,7193.25,7193.25,4116050000,148.4399,7119.03,2.1071
2018-09-02,7189.5801,7306.3101,7132.1602,7272.7202,7272.7202,4329540000,83.1401,7231.1502,1.1564
2018-09-03,7279.0298,7317.9399,7208.1499,7260.0601,7260.0601,4087760000,-18.9697,7269.545,-0.2606
2018-09-04,7263.0,7388.2598,7255.4399,7361.6602,7361.6602,4273640000,98.6602,7312.3301,1.3584
2018-09-05,7361.46,7388.4302,6792.8301,6792.8301,6792.8301,5800460000,-568.6299,7077.145,-7.7244
2018-09-06,6755.1401,6755.1401,6404.7202,6529.1699,6529.1699,5523470000,-225.9702,6642.155,-3.3452
2018-09-07,6528.9199,6555.29,6396.8701,6467.0698,6467.0698,4264680000,-61.8501,6497.9948,-0.9473
2018-09-08,6460.1699,6534.25,6197.52,6225.98,6225.98,3835060000,-234.1899,6343.075,-3.6251
2018-09-09,6223.3799,6446.2598,6201.2202,6300.8599,6300.8599,3671890000,77.48,6262.1199,1.245
2018-09-10,6301.5698,6374.98,6292.7598,6329.7002,6329.7002,3714100000,28.1304,6315.635,0.4464
2018-09-11,6331.8799,6398.9199,6260.21,6321.2002,6321.2002,3849910000,-10.6797,6326.54,-0.1687
2018-09-12,6317.0098,6363.8701,6265.0898,6351.7998,6351.7998,4064230000,34.79,6334.4048,0.5507
2018-09-13,6354.2402,6535.4102,6354.2402,6517.3101,6517.3101,4210910000,163.0699,6435.7751,2.5663
2018-09-14,6515.4102,6596.1001,6456.1699,6512.71,6512.71,4076220000,-2.7002,6514.0601,-0.0414
2018-09-15,6509.3999,6561.7202,6493.5498,6543.2002,6543.2002,3216300000,33.8003,6526.3,0.5193
2018-09-16,6536.6802,6544.3301,6460.1001,6517.1802,6517.1802,3273730000,-19.5,6526.9302,-0.2983
2018-09-17,6514.0601,6540.21,6257.52,6281.2002,6281.2002,3910780000,-232.8599,6397.6302,-3.5747
2018-09-18,6280.9102,6384.1802,6265.71,6371.2998,6371.2998,4180090000,90.3896,6326.105,1.4391
2018-09-19,6371.8501,6448.46,6208.3398,6398.54,6398.54,4431340000,26.6899,6385.195,0.4189
2018-09-20,6398.8501,6529.2598,6395.9502,6519.6699,6519.6699,4348110000,120.8198,6459.26,1.8881
2018-09-21,6513.8701,6794.3301,6496.3599,6734.9502,6734.9502,6531940000,221.0801,6624.4102,3.394
2018-09-22,6735.0498,6814.5601,6616.7998,6721.98,6721.98,4509660000,-13.0698,6728.5149,-0.1941
2018-09-23,6715.3198,6766.1499,6679.4199,6710.6299,6710.6299,4197500000,-4.6899,6712.9748,-0.0698
2018-09-24,6704.77,6713.5601,6580.8999,6595.4102,6595.4102,4177310000,-109.3598,6650.0901,-1.6311
2018-09-25,6603.6401,6603.6401,6381.8599,6446.4702,6446.4702,4726180000,-157.1699,6525.0552,-2.38
2018-09-26,6452.79,6585.9102,6397.8901,6495.0,6495.0,4437300000,42.21,6473.895,0.6541
2018-09-27,6495.29,6712.1001,6464.9502,6676.75,6676.75,4606810000,181.46,6586.02,2.7937
2018-09-28,6678.75,6785.0298,6598.3198,6644.1299,6644.1299,5014430000,-34.6201,6661.44,-0.5184
2018-09-29,6643.1001,6643.1001,6511.6499,6601.96,6601.96,4363690000,-41.1401,6622.53,-0.6193
2018-09-30,6604.71,6643.7798,6566.54,6625.5601,6625.5601,4002280000,20.8501,6615.135,0.3157
2018-10-01,6619.8501,6653.2998,6549.0801,6589.6201,6589.6201,4000970000,-30.23,6604.7351,-0.4567
2018-10-02,6593.2402,6611.8398,6537.8999,6556.1001,6556.1001,3979260000,-37.1401,6574.6702,-0.5633
2018-10-03,6553.8599,6571.46,6454.0298,6502.5898,6502.5898,3887310000,-51.2701,6528.2249,-0.7823
2018-10-04,6497.9102,6603.3101,6497.9102,6576.6899,6576.6899,3838410000,78.7797,6537.3,1.2124
2018-10-05,6574.1499,6623.6201,6557.4102,6622.48,6622.48,3671500000,48.3301,6598.315,0.7352
2018-10-06,6622.4502,6628.54,6577.7998,6588.3101,6588.3101,3259740000,-34.1401,6605.3802,-0.5155
2018-10-07,6590.6802,6641.4902,6557.04,6602.9502,6602.9502,3306630000,12.27,6596.8152,0.1862
2018-10-08,6600.1899,6675.0601,6576.04,6652.23,6652.23,3979460000,52.0401,6626.21,0.7885
2018-10-09,6653.0801,6661.4102,6606.9399,6642.6401,6642.6401,3580810000,-10.44,6647.8601,-0.1569
2018-10-10,6640.29,6640.29,6538.96,6585.5298,6585.5298,3787650000,-54.7602,6612.9099,-0.8247
