Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2017-11-09,308.645,329.452,307.056,320.884,320.884,893249984,12.239,314.7645,3.9654
2017-11-10,320.671,324.718,294.542,299.253,299.253,885985984,-21.418,309.962,-6.6791
2017-11-11,298.586,319.453,298.192,314.681,314.681,842300992,16.095,306.6335,5.3904
2017-11-12,314.69,319.153,298.513,307.908,307.908,1613479936,-6.782,311.299,-2.1551
2017-11-13,307.025,328.415,307.025,316.716,316.716,1041889984,9.691,311.8705,3.1564
2017-11-14,316.763,340.177,316.763,337.631,337.631,1069680000,20.868,327.197,6.5879
2017-11-15,337.964,340.912,329.813,333.357,333.357,722665984,-4.607,335.6605,-1.3632
2017-11-16,333.443,336.159,323.606,330.924,330.924,797254016,-2.519,332.1835,-0.7555
2017-11-17,330.167,334.964,327.523,332.394,332.394,621732992,2.227,331.2805,0.6745
2017-11-18,331.98,349.616,327.687,347.612,347.612,649638976,15.632,339.796,4.7087
2017-11-19,347.401,371.291,344.74,354.386,354.386,1181529984,6.985,350.8935,2.0106
2017-11-20,354.094,372.137,353.289,366.73,366.73,807027008,12.636,360.412,3.5685
2017-11-21,367.443,372.47,350.693,360.401,360.401,949912000,-7.042,363.922,-1.9165
2017-11-22,360.312,381.42,360.147,380.652,380.652,800819008,20.34,370.482,5.6451
2017-11-23,381.439,425.548,376.088,410.166,410.166,1845680000,28.727,395.8025,7.5312
2017-11-24,412.501,480.973,402.758,474.911,474.911,2292829952,62.41,443.706,15.1297
2017-11-25,475.676,485.192,461.053,466.276,466.276,1422080000,-9.4,470.976,-1.9761
2017-11-26,465.974,472.723,451.606,471.33,471.33,1197779968,5.356,468.652,1.1494
2017-11-27,471.531,493.405,468.485,480.355,480.355,1396480000,8.824,475.943,1.8714
2017-11-28,480.518,482.48,466.347,472.902,472.902,1346499968,-7.616,476.71,-1.585
2017-11-29,473.281,522.307,425.071,427.523,427.523,2675940096,-45.758,450.402,-9.6683
2017-11-30,431.215,465.497,401.243,447.114,447.114,1903040000,15.899,439.1645,3.687
2017-12-01,445.209,472.609,428.312,466.54,466.54,1247879936,21.331,455.8745,4.7912
2017-12-02,466.851,476.239,456.653,463.449,463.449,943649984,-3.402,465.15,-0.7287
2017-12-03,463.705,482.814,451.852,465.853,465.853,990556992,2.148,464.779,0.4632
2017-12-04,466.054,474.777,453.312,470.204,470.204,1005550016,4.15,468.129,0.8905
2017-12-05,470.294,473.558,457.66,463.281,463.281,1216720000,-7.013,466.7875,-1.4912
2017-12-06,462.604,462.708,420.21,428.588,428.588,1998259968,-34.016,445.596,-7.3532
2017-12-07,426.369,441.397,414.411,434.408,434.408,2129570048,8.039,430.3885,1.8855
2017-12-08,434.989,466.062,422.367,456.031,456.031,2336379904,21.042,445.51,4.8374
2017-12-09,457.344,504.147,456.253,473.502,473.502,2003849984,16.158,465.423,3.533
2017-12-10,472.789,472.789,429.514,441.721,441.721,1404179968,-31.068,457.255,-6.5712
2017-12-11,440.358,516.969,439.104,515.136,515.136,1771440000,74.778,477.747,16.9812
2017-12-12,522.286,657.318,504.494,651.431,651.431,5179829760,129.145,586.8585,24.7269
2017-12-13,644.906,747.993,597.798,702.767,702.767,4524539904,57.861,673.8365,8.972
2017-12-14,700.594,753.121,664.989,695.816,695.816,3821580032,-4.778,698.205,-0.682
2017-12-15,696.376,697.132,621.061,684.448,684.448,2758710016,-11.928,690.412,-1.7129
2017-12-16,686.192,718.385,680.786,696.209,696.209,2165690112,10.017,691.2005,1.4598
2017-12-17,696.237,735.825,696.237,719.975,719.975,2147389952,23.738,708.106,3.4095
2017-12-18,721.732,803.928,689.231,794.645,794.645,3249230080,72.913,758.1885,10.1025
2017-12-19,793.901,881.944,785.342,826.823,826.823,4096549888,32.922,810.362,4.1469
2017-12-20,827.516,845.062,756.004,819.086,819.086,3969939968,-8.43,823.301,-1.0187
2017-12-21,820.236,880.543,792.689,821.063,821.063,3569060096,0.827,820.6495,0.1008
2017-12-22,822.643,827.683,543.762,674.86,674.86,4977710080,-147.783,748.7515,-17.9644
2017-12-23,681.316,763.895,679.731,719.387,719.387,2480339968,38.071,700.3515,5.5879
2017-12-24,721.769,721.769,614.922,694.148,694.148,2300549888,-27.621,707.9585,-3.8268
2017-12-25,698.87,782.521,698.87,765.834,765.834,2491760128,66.964,732.352,9.5818
2017-12-26,763.37,786.79,760.935,773.836,773.836,2201159936,10.466,768.603,1.371
2017-12-27,774.97,789.253,738.413,762.842,762.842,2100029952,-12.128,768.906,-1.565
2017-12-28,762.208,763.319,701.187,737.023,737.023,2389149952,-25.185,749.6155,-3.3042
2017-12-29,740.389,770.117,729.608,753.592,753.592,2648969984,13.203,746.9905,1.7833
2017-12-30,753.815,753.815,685.231,717.257,717.257,3187780096,-36.558,735.536,-4.8497
2017-12-31,712.212,760.348,710.119,756.733,756.733,2554269952,44.521,734.4725,6.2511
2018-01-01,755.757,782.53,742.004,772.641,772.641,2595760128,16.884,764.199,2.2341
2018-01-02,772.346,914.83,772.346,884.444,884.444,5783349760,112.098,828.395,14.514
2018-01-03,886.0,974.471,868.451,962.72,962.72,5093159936,76.72,924.36,8.6591
2018-01-04,961.713,1045.08,946.086,980.922,980.922,6502859776,19.209,971.3175,1.9974
2018-01-05,975.75,1075.39,956.325,997.72,997.72,6683149824,21.97,986.735,2.2516
2018-01-06,995.154,1060.71,994.622,1041.6801,1041.6801,4662219776,46.5261,1018.417,4.6753
2018-01-07,1043.01,1153.17,1043.01,1153.17,1153.17,5569880064,110.16,1098.09,10.5617
2018-01-08,1158.26,1266.9301,1016.05,1148.53,1148.53,8450970112,-9.73,1153.395,-0.8401
2018-01-09,1146.0,1320.98,1145.49,1299.74,1299.74,7965459968,153.74,1222.87,13.4154
2018-01-10,1300.34,1417.38,1226.6,1255.8199,1255.8199,9214950400,-44.5201,1278.0799,-3.4237
2018-01-11,1268.09,1337.3,1135.17,1154.9301,1154.9301,7235899904,-113.1599,1211.51,-8.9236
2018-01-12,1158.29,1296.04,1120.09,1273.2,1273.2,5222300160,114.91,1215.745,9.9207
2018-01-13,1270.47,1432.88,1270.47,1396.42,1396.42,5746760192,125.95,1333.445,9.9137
2018-01-14,1397.48,1400.5601,1286.21,1366.77,1366.77,4841630208,-30.71,1382.125,-2.1975
2018-01-15,1365.21,1390.59,1290.6,1291.92,1291.92,4781100032,-73.29,1328.565,-5.3684
2018-01-16,1292.63,1292.63,875.545,1053.6899,1053.6899,8405139968,-238.9401,1173.16,-18.4848
2018-01-17,1061.34,1090.23,780.922,1014.25,1014.25,8545160192,-47.09,1037.795,-4.4368
2018-01-18,1016.44,1100.3101,967.759,1036.28,1036.28,5938319872,19.84,1026.36,1.9519
2018-01-19,1028.8199,1093.22,1003.71,1039.1,1039.1,4084450048,10.2801,1033.96,0.9992
2018-01-20,1044.95,1167.11,1044.95,1155.15,1155.15,3975190016,110.2,1100.05,10.546
2018-01-21,1155.6801,1155.6801,1021.5,1049.58,1049.58,3378089984,-106.1001,1102.63,-9.1807
2018-01-22,1055.35,1089.1,930.741,1003.26,1003.26,3810099968,-52.09,1029.305,-4.9358
2018-01-23,1004.17,1023.23,920.54,986.229,986.229,3556699904,-17.941,995.1995,-1.7866
2018-01-24,987.477,1062.4399,965.808,1058.78,1058.78,3944039936,71.303,1023.1285,7.2207
